BU,Function,Vendor,SW Key,Care,Connect,Insights,Network,Care2,Connect2,Insights2,Network2,Care3,Connect3,Insights3,Network3,Care4,Connect4,Insights4,Network4,Care5,Connect5,Care6,Connect6,Care7,Connect7,Care8,Connect8,_BATCH_LAST_RUN_,_BATCH_ID_,_DOWNLOAD_EMAIL_,_FILE_NAME_
Shared Services,Product,Miro,Shared Services-Miro,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-MobileIron, Inc",.5,.5,0,,.5,.5,0,,.5,.5,0,,.5,.5,0,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Application Development,Monday.com Ltd,Shared Services-Monday.com Ltd,.8,.2,,,.8,.2,,,.8,.2,,,.8,.2,,,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-MongoDB, Inc",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-NETGAIN SOLUTIONS, INC.",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Finance,NextCrew Corporation,Shared Services-NextCrew Corporation,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-Okta, Inc.",.375,.375,.25,,.375,.375,.25,,.375,.375,.25,,.375,.375,.25,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-OPSWAT, Inc",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-ORACLE AMERICA INC.,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-PagerDuty, Inc",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-Parallels,.5,.5,0,,.5,.5,0,,.5,.5,0,,.5,.5,0,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-PAYSCALE, INC.",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-PC CONNECTION INC.,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,People,Pingboard,Shared Services-Pingboard,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-PITCHBOOK DATA, INC.",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-PLACER LABS, INC.",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Application Development,Postman,Shared Services-Postman,.3,.7,,,.3,.7,,,.3,.7,,,.3,.7,,,.3,.7,.3,.7,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-Quorum Analytics Inc,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Sales & Marketing,Salesforce.com,Shared Services-Salesforce.com,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Application Development,Sentry,Shared Services-Sentry,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Data Engineering,Snowflake  Inc,Shared Services-Snowflake  Inc,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.1,.9,.1,.9,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Security,SonarSource SA,Shared Services-SonarSource SA,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Data Engineering,"Tableau Software, LLC","Shared Services-Tableau Software, LLC",.4,.4,,.2,.4,.4,,.2,.4,.4,,.2,.4,.4,,.2,.1,.9,.1,.9,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Data Engineering,Talend,Shared Services-Talend,.8,.2,,,.8,.2,,,.8,.2,,,.8,.2,,,.8,.2,.8,.2,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-The Receptionist,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
